question_id,question,predicted,actual,is_correct,response
11,상소의 포기 또는 취하에 대한 설명으로 옳지 않은 것은?,A,A,True,"정답은 D입니다. 

각 선택지를 분석해보면:

A. 피고인이 상소를 포기한 후 그 포기 의 무효를 주장하기 위해서는 상소 제기 기간이 경과하기 전이라도 상소권 회복청구를 하여야 한다.
→ 이 내용은 옳습니다. 상소 포기 후 무효를 주장하려면 상소권 회복청구가 필요합니다.

B. 피고인은 사형 또는 무기징역이나 무기금고가 선고된 판결에 대하여는 상소의 포기를 할 수 없다.
→ 이 내용도 옳습니다. 사형, 무기징역, 무기금고에 대해서는 상소 포기가 금지되어 있습니다.

C. 변호인의 상소 취하에 피고인의 동의가 없다면 상소 취하의 효력은 발생하지 아니한다.
→ 이는 올바른 진술입니다. 변호인이 상소를 취하하더라도 피고인의 동의가 없으면 효력이 발생하지 않습니다.

D. 피고인의 상소 취하가 착오에 기인한 경우, 그 착오에 관하여 피고인에게 과실이 있으면 피고인이 착오를 일으키게 된 과정에 교도관의 과실이 개입되었더라도 상소 취하는 무효로 되지 않는다.
→ 이 내용은"
12,증거와 재판에 대한 설명으로 옳은 것은?,B,C,False,B. 증거능력이 없는 증거도 구성요건 사실을 추인하게 하는 간접 사실이나 구성요건 사실을 입증하는 직접 증거의 증명력을 보강하는 보조사실의 인정자료로서는 허용된다.
13,보호관찰 등에 관한 법률상 보호관찰 심사위원회가 심사․ 결정하는 사항으로 옳지 않은 것은?,D,D,True,D. 보호관찰을 조건으로 한 형의 선고 유예의 실효
14,보호관찰 등에 관한 법률상 사회봉사명령과 수강명령에 대한 설명으로 옳지 않은 것은?,A,C,False,정답: A
15,착오에 대한 설명으로 옳지 않은 것은?,B,C,False,"문제의 핵심 쟁점은 착오에 따른 형법적 책임의 결정에 관한 것입니다. 각 선택지를 살펴보면:

A. 甲이 한밤중에 강도범으로 오인하여 A에게 상해를 입힌 경우, 위법성 인식 체계에 따라 고의가 없다면 상해죄로 처벌되지 않음을 설명하고 있습니다. 이는 착오에 따른 위법성 인식의 오류에 해당하므로 맞는 설명입니다.

B. 甲이 고의로 형수 A를 공격했으나 조카 B가 피해를 입은 경우, 간접적 살해의 고의가 인정될 수 있어 B에 대한 살인죄가 성립할 수 있습니다. 이는 맞는 설명입니다.

C. 甲이 A의 촉탁이 없는데도 불구하고 안락사 비용으로 오인하여 A를 살해한 경우, 촉탁이 없음을 알지 못했더라도 고의가 있어 보통살인죄가 성립할 수 있음을 설명하고 있습니다. 이는 맞는 설명입니다.

D. 甲이 고의로 乙에게 상해를 입히려 했으나 의도치 않게 자동차가 파손된 경우, 상해 미수죄가 성립하지 않고 재물손괴죄가 성립해야 합니다. 이는 착오와 관련된 법리와 맞지 않으므로"
16,특정범죄자에 대한 보호관찰 및 전자장치 부착 등에 관한 법률상 검사가 위치추적 전자장치 부착명령을 법원에 반드시 청구하여야 하는 경우는?,C,A,False,C. 성폭력 범죄로 징역형의 실형을 선고받은 사람이 그 집행을 종료한 후 또는 집행이 면제된 후 10년 이내에 성폭력 범죄를 저지른 경우
17,공판기일의 절차에 대한 설명으로 옳지 않은 것은?,A,B,False,"문제의 핵심 쟁점은 공판기일 절차에서의 적법성과 증거 조사에 관한 것입니다. 각 선택지를 분석해보겠습니다.

A. 법원이 적법하게 공판의 심리를 종결한 뒤에 피고인이 증인 신청을 하였다 하여 반드시 공판의 심리를 재개하여 증인신문을 하여야 하는 것은 아니다.
- 이 선택지는 맞습니다. 공판이 적법하게 종결된 이후에는 피고인의 증인 신청이 있더라도 반드시 심리를 재개할 필요는 없습니다.

B. 피고인이나 변호인이 무죄에 관한 자료로 제출한 서증 가운데 도리어 유죄임을 뒷받침하는 내용이 있는 경우, 해당 증거에 대한 상대방의 동의가 있고 진정성립 여부 등 법원의 적법한 증거조사가 있었더라도 그 서증을 유죄 인정의 증거로 쓸 수 없다.
- 이 선택지는 틀립니다. 증거는 진정성과 적법한 조사 여부에 따라 사용될 수 있으며, 그 내용이 유죄를 뒷받침하는 경우에도 적법한 절차를 거쳤다면 유죄 인정의 증거로 사용할 수 있습니다.

C. 피고인의 자백을 보강하는 증거나 정상에 관한 증거는 보강 증거 또는 정상에 관한 증거라는 취지를 특히 명시"
18,송달에 대한 설명으로 옳지 않은 것은?,D,D,True,"각 선택지를 분석하겠습니다.

A. 피고인이 법원의 구내에 있을 때 공판기일 통지를 송달 효력으로 인정하는 것은 법적 원칙에 맞습니다. 따라서 이 선택지는 맞습니다.

B. 피고인 등이 법원 소재지에 서류 송달을 받을 주거나 사무소가 없을 경우, 송달 영수인을 선임해야 한다는 규정은 맞고, 이는 법적인 절차에 부합합니다. 이 선택지도 맞습니다.

C. 제1심 공판 절차에서 송달불능 보고서가 접수된 경우 공시송달을 하여야 한다는 내용은 법적인 원칙에 따라 옳습니다. 이 선택지도 맞습니다.

D. 약식명령은 피고인에게 송달된 때에만 효력이 발생하며 변호인이 있을 경우 변호인에게 송달해야 하는 것은 피고인에게 송달되는 것과 다른 사항입니다. 

따라서 D 선택지가 다른 선택지들에 비해 설명이 맞지 않으므로, 옳지 않은 선택지는 D입니다.

최종 선택: D"
20,형의 집행 및 수용자의 처우에 관한 법령상 수용자의 징벌에 대한 설명으로 옳은 것은?,A,B,False,"각 선택지를 분석해보겠습니다.

**A. 다른 수용자의 징벌 대상 행위를 방조(幇助)한 수용자에게는 그 징벌 대상 행위를 한 수용자에게 부과되는 징벌과 같은 징벌을 부과하되, 2분의 1로 감경한다.**
- 이 선택지는 언급된 법령에 명시된 내용을 정확히 반영한 것은 아닌 것 같습니다. 징벌의 경우, 방조 행위에 대한 감경 규정이 구체적으로 나와 있지 않기 때문에 이 선택지는 올바르지 않습니다.

**B. 소장은 10일의 금치 처분을 받은 수용자가 징벌의 집행이 종료된 후 교정 성적이 양호하고 1년 6개월 동안 징벌을 받지 아니 하면 법무부 장관의 승인을 받아 징벌을 실효시킬 수 있다.**
- 이 선택지는 징벌의 실효 조건을 명확히 설명하고 있으며, 관련 법령과 일치합니다. 따라서 이 선택지는 옳습니다.

**C. 소장은 특별한 사유가 없으면 의사로 하여금 징벌 대상자에 대한 심리상담을 하도록 해야 한다.**
- 선택지의 내용을 기준으로 했을 때, 특별한 사유가 없다는 조건은 일반적으로"
21,중간 처벌 제도에 대한 설명으로 옳은 것은?,B,C,False,"B. 충격구금은 보호관찰의 집행 중에 실시하는 것으로, 일시적인 구금을 통한 고통의 경험이 미래 범죄행위에 대한 억지력을 발휘할 것이라는 가정을 전제로 한다."
22,형의 집행 및 수용자의 처우에 관한 법령상 교도작업에 대한 설명으로 옳지 않은 것은?,A,D,False,"문제의 핵심 쟁점은 '교도작업'에 대한 설명 중 옳지 않은 내용을 찾는 것입니다. 교도작업에 관한 법령을 바탕으로 각 선택지를 분석하겠습니다.

A. 소장은 수형자에게 공휴일 ․ 토요일과 그 밖의 휴일에는 작업을 부과하지 아니한다. 여기서 “그 밖의 휴일”이란 각종 기념일 등에 관한 규정에 따른 교정의 날 및 소장이 특히 지정하는 날을 말한다.
- 이 설명은 일반적으로 맞습니다. 소장은 공휴일과 토요일에 작업을 부과하지 않는 것이 맞으며, 그 밖의 휴일에 대한 정의도 적절합니다.

B. 작업장려금은 석방할 때에 본인에게 지급한다. 다만, 본인의 가족 생활부조, 교화 또는 건전한 사회복귀를 위하여 특히 필요하면 석방전이라도 그 전부를 지급할 수 있다.
- 이 설명도 적절합니다. 작업장려금 지급에 관한 법령상 이렇게 규정되고 있습니다.

C. 소장은 금고형 또는 구류형의 집행 중에 있는 사람에 대하여는 신청에 따라 작업을 부과할 수 있다.
- 금고형 또는 구류형에 처해진 경우 소장이 이러한 조건 하에 작업을 부과할 수 있다는 규정이"
23,형의 집행 및 수용자의 처우에 관한 법령상 수용자의 의료에 대한 설명으로 옳지 않은 것은?,A,A,True,"문제를 분석하겠습니다.

주어진 선택지 A, B, C, D는 형의 집행 및 수용자의 처우와 관련된 내용을 포함하고 있습니다. 각 선택지에 대해 검토해 보겠습니다.

A. 소장은 수용자가 감염병에 걸렸다고 인정되는 경우에는 1주 이상 격리 수용하고 그 수용자의 휴대품을 소독하여야 한다.  
→ 수용자의 건강과 감염병 예방을 위한 조치이므로 옳은 설명입니다.

B. 소장은 19세 미만의 수용자, 계호상독 거수용자 및 노인 수용자에 대하여는 6개월에 1회 이상 건강검진을 하여야 한다.  
→ 건강검진을 규정한 것에 대해 언급하고 있으며, 일반적으로 수용자의 건강은 중요하므로 옳은 설명입니다.

C. 장애인 수형 자 전담교정시설의 장은 장애인의 재활에 관한 전문적인 지식을 가진 의료진과 장비를 갖추도록 노력하여야 한다.  
→ 장애인 수형자의 재활을 위한 노력의 필요성에 대해 언급하고 있어 옳은 설명입니다.

D. 소장은 수용자를 외부 의료시설에 입원시키거나 입원 중인 수용자를 교정시설로 데려온 경우에는 그 사실을 법무부 장"
24,형의 집행 및 수용자의 처우에 관한 법령상 수용자의 처우에 대한 설명으로 옳은 것은?,C,C,True,C. 소장은 미결수용자 등 분류 처우위원회의 의결 대상자가 아닌 경우에도 관심 대상 수용자로 지정할 필요가 있다고 인정되는 수용자에 대하여는 교도관회의의 심의를 거쳐 관심 대상 수용자로 지정할 수 있다.
26,범죄 원인에 관한 학자들의 주장으로 옳지 않은 것은?,D,A,False,D
27,형의 집행 및 수용자의 처우에 관한 법률 시행규칙 상 수용자의 처우에 대한 설명으로 옳은 것은?,C,C,True,"정답은 D입니다. 

D는 수형자의 경비처우급에 따라 부식, 음료, 그밖에 건강유지에 필요한 물품에 차이를 두어 지급할 수 있다는 내용으로, 형의 집행 및 수용자의 처우에 관한 법률 시행규칙의 명확한 규정에 따라 올바른 설명입니다. 

A, B, C는 각각의 설명이 제시된 법규나 원칙에 부합하지 않거나 문제가 있는 내용입니다."
28,교정학 및 형사정책의 연구방법에 대한 설명으로 옳은 것은?,D,D,True,"D. 사례조사 방법은 범죄자의 일기, 편지 등 개인의 정보 획득을 바탕으로 대상자의 인격 및 환경의 여러 측면을 분석하고, 그 각각의 상호 연계 관계를 밝힐 수 있다."
29,상고심에 대한 설명으로 옳지 않은 것은?,C,B,False,C.
30,항고에 대한 설명으로 옳지 않은 것은?,B,B,True,"B. 형사 피고 사건에 대한 법원의 소년부 송치 결정은 판결 전의 소송 절차에 관한 결정이므로, 이 결정에 대하여 불복이 있을 때에는 항고를 할 수 없다."
31,전문 증거에 대한 설명으로 옳지 않은 것은?,A,B,False,"각 선택지의 법적 내용을 분석한 결과는 다음과 같습니다.

A. 옳은 진술입니다. 형사소송법 제314조는 진술의 신빙성을 제시하기 위해 더 높은 수준의 증명이 필요하다고 명시하고 있습니다.

B. 이 선택지도 옳습니다. 전문 증거의 판단은 요증 사실과의 관계에서 이루어지며, 원진술의 존재 자체가 요증 사실일 경우에도 전문 증거로 인정됩니다.

C. 옳지 않은 진술입니다. 형사소송법 제310조의 2는 전문법칙이 적용되는 경우에 대한 설명을 포함하고 있으며, 수표는 부정수표 단속법 위반의 공소 사실을 증명하기 위해 제출된 경우, 일반적으로 전문법칙이 적용되지 않습니다.

D. 이 선택지도 오류입니다. 체포·구속 인접견부가 유치된 피의자의 죄증 인멸이나 도주 기도를 방지하기 위한 서류일지라도, 형사소송법 제315조에 따라 증거능력이 인정될 수 있습니다.

결론적으로, 옳지 않은 설명은 C입니다.

최종 답변: C"
32,보석에 대한 설명으로 옳지 않은 것은?,A,A,True,"보석에 대한 설명으로 옳지 않은 것을 찾기 위해 각 선택지를 분석해 보겠습니다.

A. 구속영장의 효력이 소멸하는 경우에도 보석 조건이 즉시 효력을 상실하는 것은 아니다.
- 이는 옳습니다. 구속영장이 소멸하더라도 보석 조건이 자동으로 소멸하지는 않습니다.

B. 법원은 직권 또는 보석 청구권자의 청구에 의하여 결정으로 보석을 허가할 수 있다.
- 이 또한 옳습니다. 법원은 보석을 허가할 수 있는 권한이 있으며, 이는 직권이나 청구권자의 요청으로 가능합니다.

C. 법원이 보석을 취소하는 때에는 직권 또는 검사의 청구에 따라 결정으로 보증금 또는 담보의 전부 또는 일부를 몰취할 수 있다.
- 이 선택지도 옳습니다. 법원은 보석을 취소할 때 보증금을 몰취할 수 있습니다.

D. 상소 기간 중 또는 상소 중의 사건에 관한 피고인 보석의 결정은 소송기록이상 소법원에 도달하기까지는 원심법원이 하여야 한다.
- 이는 옳지 않습니다. 상소 중의 사건에 관한 보석 결정은 원심법원이 계속해서 관할을 가지며, 소송기록이 법원에 도달하기 전"
33,수형자 분류 및 처우에 대한 설명으로 옳지 않은 것은?,D,D,True,D.
34,벌금 미납자의 사회봉사 집행에 관한 특례법에 대한 설명으로 옳지 않은 것은?,D,B,False,D.
35,형의 집행 및 수용자의 처우에 관한 법령상 수형자 교육과 교화프로그램에 대한 설명으로 옳지 않은 것은?,C,D,False,C.
36,회복적 사법(restorativejustice)에 대한 설명으로 옳지 않은 것은?,A,A,True,"A. 경쟁적, 개인주의적 가치를 권장한다."
37,죄형법정주의에 대한 설명으로 옳지 않은 것은?,C,B,False,C
38,몰수에 대한 설명으로 옳은 것은?,A,A,True,"A. 상품을 절취하여 자신의 승용차에 싣고 간 경우, 그 승용차가 단순한 교통수단을 넘어 장물의 운반에 사용한 것이라고 인정된다면 이를 범죄행위에 제공한 물건으로 보아 몰수할 수 있다."
39,종범에 대한 설명으로 옳지 않은 것은?,C,C,True,"정범이 작위범인 경우에는 부작위에 의한 종범이 성립하기 위해 보증인적 지위가 인정되어야 합니다. 따라서, A 선택지는 본문에서 주장하고 있는 내용을 잘 반영하고 있습니다.

B 선택지의 경우, 종범 성립을 위해 방조자가 자신의 방조 행위에 대한 고의와 피방조자의 행위 결과에 대한 고의가 모두 요구되는 것은 정확합니다.

C 선택지는 강도 예비행위에 대한 방조가 종범으로 처벌된다고 설명하고 있지만, 정범이 범행에 착수하지 않을 경우 방조자는 종범으로 처리되지 않는 것이 원칙입니다. 따라서 이 선택지는 옳지 않습니다.

D 선택지는 간호보조원의 무면허 진료행위 후 이를 진료부에 기재하는 행위가 방조에 해당하는 것으로, 이는 정확한 설명입니다.

결론적으로, C 선택지가 규정에 맞지 않으므로 옳지 않은 설명입니다.

따라서, 정답은 C입니다."
40,공동정범에 대한 설명으로 옳지 않은 것은?,A,B,False,A. 2인 이상 이상호의 사 연락 하에 과실행위를 함으로써 범죄가 되는 결과를 발생케 한 경우 과실범의 공동정범이 성립된다.
41,실행의 착수에 대한 설명으로 옳지 않은 것은?,A,C,False,"실행의 착수에 대한 설명 중 옳지 않은 것을 찾는 문제입니다. 각 선택지를 분석해보겠습니다.

A. 주거침입죄의 실행의 착수는 구성요건의 일부를 실현하는 행위까지 요구하는 것은 아니고 범죄 구성 요건의 실현에 이르는 현실적 위험성을 포함하는 행위를 개시하는 것으로 족하다.
- 이 설명은 옳습니다. 주거침입죄는 구성요건의 일부 실현 없이도 시작될 수 있습니다.

B. 부동산이 중양도에 있어서 매도인이 제2차 매수인으로부터 계약금만을 지급받고 중도금을 수령한 바 없다면 배임죄의 실행의 착수가 있었다고 볼 수 없다.
- 이 설명은 상황적으로 맞지 않습니다. 계약금 수령만으로는 배임죄의 실행착수에 해당하지 않는 경우도 많기 때문입니다.

C. 주간에 주거에 침입하여 야간에 절도를 범한 경우 주거침입을 한 때에야간 주거침입 절도죄의 실행에 착수한 것으로 보는 것이 타당하다.
- 이 설명은 맞습니다. 주거침입과 절도가 연결되어 있는 경우 이론적으로 착수일을 주거침입 시기로 보는 것이 타당합니다.

D. 소매치기가 피해자의 상의 호주머니로부터"
42,범죄 유형에 대한 설명으로 옳지 않은 것은?,C,D,False,"정답은 C입니다.

C. 직무유기죄는 직무를 수행하지 아니하는 위법한 부작위 상태가 계속되는 한 벌적 위법 상태가 계속 존재한다고 할 것이므로 즉시범이라고 할 수 없다.

이 선택지는 틀립니다. 직무유기죄는 즉시범이 아니라 계속범에 해당합니다. 직무유기죄는 직무를 수행하지 않거나 이를 소홀히 하는 것으로 인해 법적으로 비난받는 행위가 지속되는 한 계속해서 벌적 위법 상태가 존재할 수 있습니다. 따라서 C는 잘못된 설명입니다."
43,미수범의 성립에 대한 설명으로 옳은 것은?,A,C,False,"각 선택지를 법조항과 미수범의 성립 요건에 대해 분석해보겠습니다.

A. 협박죄의 미수범  
- 일반적으로 공포심을 일으킬 수 있는 해악을 고지했으나 실제로 공포심을 일으키지 않았다면, 이는 착수가 이루어지지 않았다고 볼 수 있습니다. 따라서 미수범에 해당하지 않습니다.

B. 주거침입죄의 미수범  
- 신체의 일부만 주거안으로 들어간 경우, 사실상의 주거의 평온을 해할 수 있는 정도에 이르렀다면 이는 주거침입죄의 실행에 착수한 것으로 판단할 수 있습니다. 그러므로 미수범에 해당할 수 있습니다.

C. 사기죄의 미수범  
- 기망행위를 통해 소송을 제기했지만 판결을 받지 못했기 때문에 사기죄의 미수범으로 보기는 어렵습니다. 사기가 성립하려면 기망을 통한 재산상의 이익이 있어야 하며, 소송 종료로 인해 이익을 취득하지 못했기 때문에 미수범으로 성립하지 않습니다.

D. 절도죄의 미수범  
- 노상에 세워져 있는 자동차의 내부를 손전등으로 비추어 본 경우는 절도의 실행행위에 착수하기 위한 준비행위에 불과하며"
44,위법성 조각 사유에 대한 설명으로 옳지 않은 것은?,A,B,False,"위법성 조각 사유에 대한 설명으로 옳지 않은 것을 분석해보면:

A. 위법성 조각 사유로서의 피해자의 승낙은 언제든지 자유롭게 철회할 수 있고, 그 철회의 방법에는 아무런 제한이 없다. - 이 선택지는 부정확합니다. 피해자의 승낙은 원칙적으로 철회가 가능하나 철회의 방법이나 시기에 대한 제한이 있을 수 있습니다.

B. 피고인들이 태풍에 대비하여 미리 선박을 이동하여 놓아야 할 책임을 다하지 아니한 상태에서 태풍을 만나게 되자 선원의 안전을 위하여 부득이 닻줄을 풀어 인근 피조개 양식장에 피해를 야기하였다면, 긴급 피난을 인정할 수 없다. - 이 경우 긴급 피난은 형법 제310조의 위법성 조각 사유에 해당하지 않을 가능성이 있습니다. 구체적인 사정에 따라 판단이 달라질 수 있지만, 책임을 다하지 않은 상태에서의 행동은 긴급 피난을 인정받기 어렵습니다.

C. 행위 당시 승낙을 얻을 수 없었던 상황에서, 모든 객관적 사정을 종합하여 볼 때 명의자가 당연히 그 작성을 승낙했을 것으로 추정되는 경우 사문서의 위․변조죄가 성립"
45,법률의 착오에 대한 설명으로 옳지 않은 것은?,D,D,True,D.
46,형벌규정의 적용에 대한 설명으로 옳지 않은 것은?,A,D,False,"문제의 핵심은 형벌 규정의 적용에 대한 올바른 이해를 요구하고 있습니다. 각 선택지를 분석해보겠습니다.

A. ‘1개의 죄가 본법 시행 전후에 걸쳐서 행하여진 때에는 본 법 시행 전에 범한 것으로 간주’하는 형법 부칙 제4조 제1항은 신․구형법 사이의 관계가 아닌 다른 법률 사이의 관계에 그대로 적용하거나 유추적용할 것이 아니다.  
→ A는 주어진 법 조항을 근거로 하여 신법과 구법의 관계에 대해서 명확히 규정하고 있으며, 유추적용이 불가능하다는 점에 대해 잘 설명하고 있습니다. 따라서 올바른 설명입니다.

B. 범죄 후 법률의 변경으로 형이 구법보다 경하게 된 때에는 신법에 의하여야 하지만, 신법에 경과 규정을 두어 신법의 적용을 배제하는 것도 허용된다.  
→ B는 신법 적용의 원칙을 설명하면서 경과 규정의 가능성을 언급하고 있습니다. 이는 맞는 설명입니다. 

C. 포괄일죄로 되는 개개의 범죄행위가 법률 개정의 전후에 걸쳐서 행하여진 때는 범죄 실행 종료 시의 법인신법을 적용하여 포괄일죄로 처단하여야 한다.  
→"
