question_id,question,predicted,actual,is_correct,response
53,강제추행의 죄에 대한 설명으로 옳지 않은 것은?,C,C,True,C
54,법원이 甲에 대하여 공소기각의 재판을 해야 하는 경우는?,C,D,False,C
55,"청소년 범죄 관련 다이버전(diversion, 전환) 프로그램에 대한 설명으로 옳지 않은 것은?",C,D,False,C
56,형의 집행 및 수용자의 처우에 관한 법률상 수용자 권리구제에 대한 설명으로 옳지 않은 것은?,B,B,True,B
57,치료감호 등에 관한 법률 상옳은 것은?,C,D,False,C
58,민영교도소 등의 설치 ․ 운영에 관한 법령상 옳지 않은 것은?,A,B,False,A
59,형의 집행 및 수용자의 처우에 관한 법령상 특별한 보호가 필요한 수용자의 처우에 대한 설명으로 옳지 않은 것은?,D,A,False,D
60,형의 집행 및 수용자의 처우에 관한 법령상 소장이 교도관으로 하여 금 수용자의 접견 내용을 청취 ․ 기록 ․녹음 또는 녹화하게 할 수 있는 경우가 아닌 것은?,D,A,False,D
61,유기의 죄에 대한 설명으로 옳지 않은 것은?,D,D,True,D
62,형의 집행 및 수용자의 처우에 관한 법령상 교도작업에 대한 설명으로 옳은 것은?,A,A,True,A
63,형사소송법 제315조에 규정된 당연히 증거능력 있는 서류에 해당하는 것(○)과 해당하지 않는 것(×)을 바르게 연결한 것은?,A,D,False,A
64,면소 판결을 할 수 있는 것은?,D,D,True,D
65,증명의 기본 원칙에 대한 설명으로 옳지 않은 것은?,A,C,False,A
66,형법 의 강도죄를 범한 자와 관련하여 형사소송법 의 기간의 적용에 대한 설명으로 옳지 않은 것은?,C,C,True,C
67,상소에 대한 설명으로 옳은 것은?,C,C,True,C
68,공소사실의 특정에 대한 설명으로 옳지 않은 것은?,C,A,False,C
69,간이 공판 절차에 대한 설명으로 옳은 것은?,D,A,False,D
70,형의 집행 및 수용자의 처우에 관한 법령상 여성 수용자의 처우에 대한 설명으로 옳지 않은 것은?,A,D,False,A
71,형법의 적용 범위에 대한 설명으로 옳지 않은 것은?,B,D,False,B
72,위법성의 인식과 법률의 착 오에 대한 설명으로 옳지 않은 것은?,C,B,False,C
73,형사소송법 제345조에서 상소권 회복의 청구요건으로 규정하고 있는 ‘자기 또는 대리인이 책임질 수 없는 사유’에 해당하는 경우가 아닌 것은?,D,A,False,D
74,일부 상소에 대한 설명으로 옳은 것(○)과 옳지 않은 것(×)을 바르게 연결한 것은?,C,D,False,C
75,고소불가분의 원칙에 대한 설명으로 옳지 않은 것은?,C,C,True,C
76,증인신문에 대한 설명으로 옳은 것(○)과 옳지 않은 것(×)을 바르게 연결한 것은?,A,A,True,A
77,정보저장 매체 기록의 증거능력에 대한 설명으로 옳은 것은?,C,C,True,C
78,자백에 대한 설명으로 옳지 않은 것은?,C,C,True,C
79,소송 행위에 있어서 절차에 하자가 있으나 사후적으로 하자의 치유가 인정되지 않는 것은?,D,D,True,D
80,소년법상 항고에 대한 설명으로 옳지 않은 것은?,C,C,True,C
81,중간 처우제도와 시설에 대한 설명으로 옳지 않은 것은?,B,B,True,B
82,형의 집행 및 수용자의 처우에 관한 법령상 수용자의 석방에 대한 설명으로 옳지 않은 것은?,C,D,False,C
83,형의 집행 및 수용자의 처우에 관한 법령상 귀휴허가 후 조치에 대한 설명으로 옳지 않은 것은?,B,D,False,B
84,우리나라 교정(행형)의 역사에 대한 설명으로 옳지 않은 것은?,D,B,False,D
85,형의 집행 및 수용자의 처우에 관한 법령상 작업 장려금에 대한 설명으로 옳지 않은 것은?,B,B,True,B
86,형의 집행 및 수용자의 처우에 관한 법률상 간이 입소 절차를 실시하는 대상에 해당하지 않는 것은?,C,C,True,C
87,성폭력 범죄자의 성충동 약물치료에 관한 법률상 ‘성폭력 수형자 중 검사가 치료명령을 청구할 수 있는 대상자’에 대한 치료명령에 관한 설명으로 옳지 않은 것은?,D,A,False,D
88,민영교도소 등의 설치 ․ 운영에 관한 법률 상교정 업무의 민간 위탁에 대한 설명으로 옳지 않은 것은?,B,C,False,B
89,화이트칼라 범죄에 대한 설명으로 옳지 않은 것은?,B,B,True,B
90,"차별적 접촉이론, 차별적 동일시 이론 및 차별적 강화 이론에 대한 설명으로 옳지 않은 것은?",C,A,False,C
91,형법 제16조의 법률의 착오에 대한 설명으로 옳은 것은?,C,D,False,C
92,판결 선고 전 구금일수에 대한 설명으로 옳은 것(○)과 옳지 않은 것(×)을 바르게 연결한 것은?,C,B,False,C
93,업무상 배임죄에 대한 설명으로 옳지 않은 것은?,B,C,False,B
94,인과관계에 대한 설명으로 옳지 않은 것은?,D,A,False,D
95,보호관찰 등에 관한 법률상 별도의 부과 절차 없이도 보호관찰 대상자가 지켜야 할 준수사항(일반 준수사항)에 해당하지 않는 것은?,D,D,True,D
96,범죄 피해자 보호법상 형사조정에 대한 설명으로 옳은 것은?,A,B,False,A
97,형사정책학의 연구방법에 대한 설명으로 옳지 않은 것은?,C,C,True,C
98,소년법상 보호처분에 대한 설명으로 옳지 않은 것은?,C,C,True,C
99,형법상 형벌제도에 대한 설명으로 옳지 않은 것은?,B,C,False,B
100,벌금형과 관련하여 현행법에 도입된 제도가 아닌 것은?,D,C,False,D
101,범죄예방 모델에 대한 설명으로 옳지 않은 것은?,D,D,True,D
102,범죄예측에 대한 설명으로 옳지 않은 것은?,B,B,True,B
103,범죄 인류학파(이탈리아 실증주의학파)에 대한 설명으로 옳지 않은 것은?,A,A,True,A
104,사이크스(Sykes)와 맛차(Matza)는 청소년들이 표류 상태에 빠지는 과정에서 ‘중화(neutraliz ation) 기술’을 습득함으로써 자신의 비행을 합리화한다고 하였다. <보기1>의 중화기술의 유형과 <보기2>의 구체적인 사례를 바르게 연결한 것은?,C,B,False,C
105,암수 범죄에 대한 설명으로 옳지 않은 것은?,B,D,False,B
106,형의 집행 및 수용자의 처우에 관한 법령상 금치 처분에 대한 설명으로 옳지 않은 것은?,A,B,False,A
107,형의 집행 및 수용자의 처우에 관한 법률 시행령 상 수용에 대한 설명으로 옳은 것은?,A,D,False,A
108,교정이념으로서의 정의 모형에 대한 설명으로 옳지 않은 것은?,C,D,False,C
109,피고인 출석의 예외에 대한 설명으로 옳지 않은 것은?,C,B,False,C
110,간접 증거에 대한 설명으로 옳지 않은 것은?,C,D,False,C
111,전문법칙에 대한 설명으로 옳은 것은?,C,B,False,C
112,불이익 변경 금지의 원칙에 대한 설명으로 옳지 않은 것은?,B,C,False,B
113,형사소송의 구조에 대한 설명으로 옳지 않은 것은?,A,D,False,A
114,피고인의 특정에 대한 설명으로 옳지 않은 것은?,C,B,False,C
115,형의 집행 및 수용자의 처우에 관한 법률 상용어에 대한 설명으로 옳지 않은 것은?,B,B,True,B
116,약식절차에 대한 설명으로 옳은 것은?,A,C,False,A
117,(업무상) 횡령죄에 대한 설명으로 옳지 않은 것은?,D,A,False,D
118,사실의 착오에 대한 설명으로 옳은 것은?,C,D,False,C
119,벌금형에 대한 설명으로 옳지 않은 것은?,D,A,False,D
120,포괄일죄에 대한 설명으로 옳지 않은 것은?,B,C,False,B
121,실행의 착수에 대한 설명으로 옳은 것은?,C,C,True,C
122,사실 의 착 오에 대한 설명으로 옳은 것은?,C,D,False,C
123,신용카드 범죄에 대한 설명으로 옳지 않은 것은?,A,D,False,A
124,범죄자 처우의 모델에 대한 설명으로 옳지 않은 것은?,B,C,False,B
125,소년법 상소년 형사 절차에 대한 설명으로 옳지 않은 것은?,B,B,True,B
126,구금방법에 대한 설명으로 옳지 않은 것은?,D,C,False,D
127,서덜랜드(E.H.Suth erland)의 차별적 접촉이론에 대한 설명으로 옳은 것은?,B,A,False,B
128,범죄 문제에 대한 고전학파의 특징에 대비되는 실증주의학파의 특징으로 옳지 않은 것은?,C,C,True,C
129,범죄 원인론에 대한 설명으로 옳지 않은 것은?,C,C,True,C
130,증거능력에 대한 설명으로 옳지 않은 것은?,C,A,False,C
131,진술 증거의 증거능력에 대한 설명으로 옳지 않은 것은?,C,B,False,C
132,기판력 또는 일사 부재리의 효력에 대한 설명으로 옳지 않은 것은?,A,D,False,A
133,"제척, 기피제도에 대한 설명으로 옳지 않은 것은?",B,C,False,B
134,치료감호 등에 관한 법률 상 보호관찰에 대한 설명으로 옳지 않은 것은?,A,D,False,A
135,현행 법령상 가석방제도에 대한 설명으로 옳지 않은 것은?,A,D,False,A
136,형의 집행 및 수용자의 처우에 관한 법률 상 여성 수용자의 처우에 대한 설명으로 옳지 않은 것은?,B,D,False,B
137,현행 법령상 형벌에 대한 설명으로 옳지 않은 것은?,C,D,False,C
138,형의 집행 및 수용자의 처우에 관한 법령상 교정시설의 시찰 및 참관에 대한 설명으로 옳지 않은 것은?,C,B,False,C
139,형의 집행 및 수용자의 처우에 관한 법률 시행규칙상 <보기 1>의 경비처우급과 <보기 2>의 작업기준을 바르게 연결한 것은?,A,D,False,답변: A
140,형의 집행 및 수용자의 처우에 관한 법률 의 내용으로 옳지 않은 것은?,C,B,False,C
141,소년법 상소년부 판사가 취할 수 있는 임시 조치로 옳지 않은 것은?,B,C,False,B
142,공모 관계 이탈 및 공범 관계 이탈에 대한 설명으로 옳지 않은 것은?,D,C,False,D
143,법인의 형사 책임에 대한 설명으로 옳지 않은 것은?,C,D,False,C
144,형법 의 적용 범위에 대한 설명으로 옳은 것은?,B,C,False,B
145,치료감호 등에 관한 법률상 치료감호와 치료명령에 대한 설명으로 옳은 것은?,D,B,False,D
146,공소기각의 재판에 대한 설명으로 옳지 않은 것은?,A,A,True,A
147,소송 행위에 대한 설명으로 옳지 않은 것은?,A,C,False,A
148,증언 거부권에 대한 설명으로 옳지 않은 것은?,C,B,False,C
149,보호관찰 등에 관한 법률상 조사제도에 대한 설명으로 옳지 않은 것은?,B,B,True,B
150,형의 집행 및 수용자의 처우에 관한 법률상 가석방 심사위원회에 대한 설명으로 옳지 않은 것은?,C,D,False,C
151,서덜랜드와 크레시 (Sutherland & Cressey) 가 제시한 수형 자 하위문화에 대한 설명으로 옳은 것은?,B,A,False,B
152,법관의 기피에 대한 설명으로 옳은 것은?,D,D,True,D
153,형의 집행 및 수용자의 처우에 관한 법률 시행규칙 상 수형자 직업훈련 대상자 선정의 제한사항에 해당하지 않는 것은?,B,B,True,B
154,형의 집행 및 수용자의 처우에 관한 법령상 수용시설 내 감염병 관련 조치에 대한 설명으로 옳지 않은 것은?,A,A,True,A
155,형의 집행 및 수용자의 처우에 관한 법률상 금지 물품 중 소장이 수용자의 처우를 위하여 수용자에게 소지를 허가할 수 있는 것은?,D,B,False,D
156,비 범죄화 (decriminaliz ation) 에 대한 설명으로 옳지 않은 것은?,A,D,False,A
157,보호관찰 등에 관한 법률 상 보호관찰 대상자의 준수사항에 해당하지 않는 것은?,C,C,True,C
158,전자감독제도에 대한 설명으로 옳지 않은 것은?,A,A,True,A
159,클라워드 (Cloward) 와 올린(Ohlin) 의 차별 기회 이론 (differential opportunity theory) 에 대한 설명으로 옳지 않은 것은?,C,D,False,C
160,재소자 권리구제 제도로서 옴부즈맨 (Om bu dsman) 에 대한 설명으로 옳지 않은 것은?,B,B,True,B
161,괄호 안의 범죄에 대한 불능 미수가 성립하는 경우는 ?,D,D,True,D
162,형사소송법 이 명시적으로 규정하고 있는 검사의 권한에 속하지 않는 것은?,D,B,False,D
163,재정신청에 대한 설명으로 옳은 것은?,B,C,False,B
164,증거에 대한 설명으로 옳지 않은 것은?,C,B,False,C
165,증거동의에 대한 설명으로 옳지 않은 것은?,C,C,True,C
166,대물적 강제수사에 대한 설명으로 옳지 않은 것은?,D,B,False,D
167,현행범 체포에 대한 설명으로 옳지 않은 것은?,C,C,True,C
168,보증금 납입조건부 피의자 석방과 보석에 대한 설명으로 옳지 않은 것은?,D,B,False,D
169,무죄 추정의 원칙에 대한 설명으로 옳지 않은 것은?,D,D,True,D
170,형사 절차에 대한 설명으로 옳지 않은 것은?,A,D,False,A
171,상소 및 특별절차에 대한 설명으로 옳은 것은?,B,B,True,B
172,위법수집 증거 배제 법칙에 대한 설명으로 옳지 않은 것은?,C,C,True,C
173,재판에 대한 설명으로 옳지 않은 것은?,B,D,False,B
174,전문 증거의 증거능력에 대한 설명으로 옳은 것은?,C,A,False,C
175,재체포ㆍ 재구 속에 대한 설명으로 옳은 것은?,B,A,False,B
176,전문 심리위원에 대한 설명으로 옳지 않은 것은?,C,A,False,C
177,"상습범으로서 포괄일죄의 관계에 있는 여러 개의 사기 범죄 사실 중 일부에 대해 기소된 피고인에게 단순 사기죄의 유죄 판결이 확정된 후, 확정 판결의 사실 심판결 선고 전에 피고인이 범한 나머지 범죄에 대해 검사가 상습사기죄로 추가 기소를 한 경우 법원은 어떠한 재판을 해야 하는 가 ?",C,C,True,C
178,피고인의 특정 및 성명 모용에 대한 설명으로 옳지 않은 것은?,B,A,False,B
179,예비죄에 대한 설명으로 옳은 것은?,C,C,True,C
180,중지 미수에 대한 설명으로 옳지 않은 것은?,C,B,False,C
181,피해자의 승낙에 대한 설명으로 옳지 않은 것은?,C,B,False,C
182,배상명령에 대한 설명으로 옳지 않은 것은?,B,B,True,B
183,형사소송의 이념과 목적에 대한 설명으로 옳지 않은 것은?,D,D,True,D
184,소년법 상 형사사건의 심판 등에 대한 설명으로 옳지 않은 것은?,D,A,False,D
185,소년법 상 보호처분과 그 변경 등에 대한 설명으로 옳지 않은 것은?,C,D,False,C
186,보호소년 등의 처우에 관한 법률상 수용과 보호 등에 대한 설명으로 옳지 않은 것은?,B,C,False,B
187,사이코패스에 대한 설명으로 옳지 않은 것은?,B,B,True,B
188,제척과 기피에 대한 설명으로 옳지 않은 것은?,B,C,False,B
189,법률상 소년 등의 연령 기준으로 옳지 않은 것은?,B,C,False,B
190,스토킹 범죄의 처벌 등에 관한 법률 의 내용에 대한 설명으로 옳지 않은 것은?,A,B,False,A
191,형법 상 벌금에 대한 설명으로 옳지 않은 것은?,A,C,False,A
192,갓 프레드슨 (Gottfredson) 과 허쉬(Hirschi) 의 낮은 자기 통제 (low self-control) 에 대한 설명으로 옳지 않은 것은?,D,C,False,D
193,행태 이론 (behavior theory) 에 대한 설명으로 옳지 않은 것은?,C,A,False,C
194,회복적 사법에 대한 설명으로 옳지 않은 것은?,D,D,True,D
195,비 범죄화에 대한 설명으로 옳지 않은 것은?,C,C,True,C
196,사면법 상 사면에 대한 설명으로 옳지 않은 것은?,C,C,True,C
197,증거능력과 증명력 에 대한 설명으로 옳지 않은 것은?,A,A,True,A
198,탄핵 증거에 대한 설명으로 옳지 않은 것은?,D,A,False,D
199,면소 판결에 대한 설명으로 옳지 않은 것은?,B,D,False,B
