question_id,question,predicted,actual,is_correct,response
10,기소와 재판에 대한 설명으로 옳지 않은 것은?,A,B,False,"문제의 핵심 형법 쟁점은 기소와 재판에 대한 설명 중 옳지 않은 것을 찾는 것입니다. 각 선택지에 대하여 법적 분석을 진행해보겠습니다.

A. 공소기각의 판결은 피고인에게 불이익한 재판이라고 할 수 없으므로 이에 대하여 피고인은 상소권이 없다.
- 공소기각은 피고인이 범죄를 저지르지 않았거나 기소의 요건이 갖춰지지 않았다는 판단을 내리므로, 피고인에게 불이익이 아닌 특징을 갖습니다. 이에 따라 피고인은 이 결정을 상소할 수 없습니다. 따라서 옳은 진술입니다.

B. 공소사실의 동일성이 인정되지 아니하고 실체적 경합 관계에 있는 수개의 공소사실의 전부 또는 일부를 철회하는 공소 취소에 따라 공소기각의 결정이 확정된 때와 마찬가지로, 포괄일죄로 기소된 공소사실 중 일부에 대하여 공소장 변경의 방식으로 이루어진 공소사실의 일부 철회가 있는 경우에 그 범죄 사실에 대하여도 다른 중요한 증거가 발견되지 않는 한 재기소할 수 없다.
- 이 설명은 법적 원칙에 부합하며, 공소 취소 시 재기소가 불가능"
11,상소의 포기 또는 취하에 대한 설명으로 옳지 않은 것은?,A,A,True,"이번 문제에서 상소의 포기 또는 취하에 대한 설명이므로 각 선택지를 살펴보겠습니다.

A. 피고인이 상소를 포기한 후 그 포기 의 무효를 주장하기 위해서는 상소 제기 기간이 경과하기 전이라도 상소권 회복청구를 하여야 한다.  
→ 이는 맞습니다. 상소를 포기한 후에는 상소권 회복청구를 통해 무효를 주장할 수 있습니다.

B. 피고인은 사형 또는 무기징역이나 무기금고가 선고된 판결에 대하여는 상소의 포기를 할 수 없다.  
→ 이 선택지는 맞습니다. 해당 판결은 상소 포기가 불가하기 때문입니다.

C. 변호인의 상소 취하에 피고인의 동의가 없다면 상소 취하의 효력은 발생하지 아니한다.  
→ 이는 맞습니다. 변호인이 상소를 취하하려면 피고인의 동의가 있어야 효력이 발생합니다.

D. 피고인의 상소 취하가 착오에 기인한 경우, 그 착오에 관하여 피고인에게 과실이 있으면 피고인이 착오를 일으키게 된 과정에 교도관의 과실이 개입되었더라도 상소 취하는 무효로 되지 않는다.  
→ 이 선택지는 옳지 않습니다"
12,증거와 재판에 대한 설명으로 옳은 것은?,A,C,False,"문제의 핵심 형법 쟁점은 증거와 재판 절차에 대한 것입니다. 각 선택지를 분석하여 가장 적절한 답변을 선택하겠습니다.

A. 이 선택지는 법원이 검사의 구형에 구속되지 않음을 언급하지만, 검사의 구형에 포함되지 않은 벌금형을 병과할 수 없다는 주장은 잘못된 논리입니다. 검사의 구형이 양형에 관한 의견이므로 법원은 이의에 구속될 필요가 없고, 법원이 형을 정할 때 벌금형을 병과하는 것은 가능하므로 이 선택지는 틀립니다.

B. 증거능력이 없는 증거가 간접 사실의 인정자료나 보조사실의 인정자료로 허용된다는 입장입니다. 그러나 일반적으로 증거능력이 없는 증거는 원칙적으로 인정되지 않으므로 이 선택지도 틀립니다.

C. 피고인이 동의하지 않은 공동 피고인의 진술은 그 자체로 피고인의 공소 사실을 인정하는 증거로 사용될 수 없다는 점에서 옳습니다. 따라서 이 선택지는 올바른 설명입니다.

D. 법원이 공판의 심리를 종결한 후에 피고인이 증인 신청을 하면 법원은 공판을 재개해야 하는 의무를 지지 않습니다. 법원은 여러 사유로 재개를 거부할"
13,보호관찰 등에 관한 법률상 보호관찰 심사위원회가 심사․ 결정하는 사항으로 옳지 않은 것은?,D,D,True,D. 보호관찰을 조건으로 한 형의 선고 유예의 실효
14,보호관찰 등에 관한 법률상 사회봉사명령과 수강명령에 대한 설명으로 옳지 않은 것은?,A,C,False,"먼저 각 선택지를 검토한 후, 한국 형법 내에서 사회봉사명령과 수강명령에 대한 설명이 옳지 않은 것을 찾겠습니다.

A: 법원은 형법 제62조의 2에 따른 사회봉사를 명할 때에는 500시간, 수강을 명할 때에는 200시간의 범위에서 그 기간을 정하여야 한다. 다만, 다른 법률에 특별한 규정이 있는 경우에는 그 법률에서 정하는 바에 따른다.  
-> 이 내용은 정확하지 않다. 제62조의 2에 명시된 내용에 따르면, 사회봉사 및 수강 명령에 대한 특정 시간의 기준이 없으며, 주로 법원이 적정하다고 판단할 수 있는 범위 내에서 정할 수 있다.

B: 법원은 형법 제62조의 2에 따른 사회봉사 또는 수강을 명하는 판결이 확정된 때부터 3일 이내에 판결문 등본 및 준수사항을 적은 서면을 피고인의 주거지를 관할하는 보호관찰소의 장에게 보내야 한다.  
-> 이 내용은 올바른 법적 절차를 따르고 있으며, 법원에서 명령을 내린 후의 절차를 설명하고 있습니다.

C: 사회봉사 ․수강명령 대상자는 주거를 이전하거나"
15,착오에 대한 설명으로 옳지 않은 것은?,A,C,False,"A. 甲이한밤중에 좁은 골목길을 지나가던 A를 강도범으로 오인하여 방위의 의사로 아령이든 가방으로 쳐서 A에게 전치 3주의 상해를 입힌 경우, 위법성 인식의 체계적 지위에 관한 고의설에 의하면 상해죄의 고의범으로 처벌할 수 없다."
16,특정범죄자에 대한 보호관찰 및 전자장치 부착 등에 관한 법률상 검사가 위치추적 전자장치 부착명령을 법원에 반드시 청구하여야 하는 경우는?,C,A,False,C. 성폭력 범죄로 징역형의 실형을 선고받은 사람이 그 집행을 종료한 후 또는 집행이 면제된 후 10년 이내에 성폭력 범죄를 저지른 경우
17,공판기일의 절차에 대한 설명으로 옳지 않은 것은?,A,B,False,"문제의 핵심 쟁점은 공판기일 절차에 대한 규정입니다. 각 선택지를 법조항과 법리에 비추어 분석하겠습니다.

A. 법원이 적법하게 공판의 심리를 종료한 뒤 피고인이 증인 신청을 하여도 공판을 재개할 필요는 없다는 점에서 옳습니다. 이는 공판 절차가 적법하게 종료되었기 때문에 피고인의 요청이 법적으로 강제되지 않음을 의미합니다.

B. 피고인이나 변호인이 무죄에 관한 자료로 제출한 서증이 유죄를 뒷받침할 경우, 이 증거가 상대방의 동의와 적법한 조사에도 불구하고 유죄 인정의 증거로 쓸 수 없다는 주장은 틀린 해석입니다. 법원이 정당한 절차로 수집한 증거는 유죄 또는 무죄 판단에 사용될 수 있습니다.

C. 피고인의 자백을 보강하는 증거에 대한 신청 절차는 맞는 설명입니다. 보강 증거는 특별히 명시해야 하며, 이는 법원의 적법한 증거조사를 보장하기 위한 조치입니다.

D. 검사가 양형에 관한 의견을 진술하지 않은 경우 이는 판결에 영향을 미치는 법률 위반으로 연결되지 않을 수 있으며, 따라서 옳은 설명입니다.

이 분석"
18,송달에 대한 설명으로 옳지 않은 것은?,A,D,False,"각 선택지를 분석해 보겠습니다.

A. ""법원의 구내에 있는 피고인에 대하여 공판기일을 통지한 때에는 소환장 송달의 효력이 있다."" 
- 이는 일반적으로 맞는 설명입니다. 법원 내에 있는 피고인에게는 그러한 방식으로 소환할 수 있습니다.

B. ""피고인, 대리인, 대표자, 변호인 또는 보조인이 법원 소재지에 서류의 송달을 받을 수 있는 주거 또는 사무소를 두지 아니한 때에는 법원 소재지에 주거 또는 사무소가 있는 자를 송달 영수인으로 선임하여 연명한 서면으로 신고하여야 한다.""
- 이 설명도 맞습니다. 법적 절차에서는 송달 영수인의 선임이 요구되기 때문입니다.

C. ""제1심 공판 절차에서, 법정형이 3년 이하의 징역인 A죄로 공소 제기된 피고인에 대한 송달불능보고서가 접수된 때로부터 6개월이 지나도록 검사에게 주소보정을 요구하거나 기타 필요한 조치를 취하였음에도 피고인의 소재를 확인할 수 없는 경우, 피고인에 대한 송달은 공시송달의 방법에 의한다.""
- 이 설명도 일반적으로 맞습니다. 피고인의 소재 확인이 불"
19,형의 집행 및 수용자의 처우에 관한 법률상 귀휴에 대한 설명으로 옳은 것(○)과 옳지 않은 것(×)을 바르게 연결한 것은?,A,D,False,"문제에서 귀휴에 대한 설명의 옳고 그름에 대한 판단을 요구합니다. 그러나 제공된 문맥 정보에는 귀휴에 대한 직접적인 내용이나 법조항, 판례가 없기 때문에 형의 집행 및 수용자의 처우에 관한 법률과 관련한 내용을 추론해야 합니다.

일반적으로 귀휴는 특정 조건을 만족할 경우 수용자가 보조적으로 자유를 얻는 제도입니다. 이런 측면에서, 귀휴와 관련된 내용이 정확하게 설명되었다면 옳다(○)고 판단할 수 있지만, 구체적인 내용이 결여되었으므로 어떤 설명이 옳은지 또는 틀린지를 확정할 수 있는 근거가 부족합니다.

따라서 이런 정보의 부족으로 인해 각 선택지의 정오를 판단하는 것이 불가능하므로 올바른 정답을 제시하기 어렵습니다. 하지만, 일반적으로 출제자의 의도에 따라 영문이 없고 귀휴에 대한 질문 자체가 명확히 판단될 수 없다면, 형의 집행 및 수용자의 처우에 관련된 문제는 틀린 선택지로 평가될 가능성이 큽니다.

이러한 맥락에서 선택지의 하나를 선택해야 한다면, 조합이 가장 적절할 것으로 보이는 것, 즉 일반적인 옳고 그름을 포함한 조합인 A를 선택"
20,형의 집행 및 수용자의 처우에 관한 법령상 수용자의 징벌에 대한 설명으로 옳은 것은?,D,B,False,D.
21,중간 처벌 제도에 대한 설명으로 옳은 것은?,B,C,False,"B. 충격구금은 보호관찰의 집행 중에 실시하는 것으로, 일시적인 구금을 통한 고통의 경험이 미래 범죄행위에 대한 억지력을 발휘할 것이라는 가정을 전제로 한다."
22,형의 집행 및 수용자의 처우에 관한 법령상 교도작업에 대한 설명으로 옳지 않은 것은?,C,D,False,C. 소장은 금고형 또는 구류형의 집행 중에 있는 사람에 대하여는 신청에 따라 작업을 부과할 수 있다.
23,형의 집행 및 수용자의 처우에 관한 법령상 수용자의 의료에 대한 설명으로 옳지 않은 것은?,C,A,False,C.
24,형의 집행 및 수용자의 처우에 관한 법령상 수용자의 처우에 대한 설명으로 옳은 것은?,C,C,True,C.
25,국선변호인에 대한 설명으로 옳은 것(○)과 옳지 않은 것(×)을 바르게 연결한 것은?,C,A,False,"문제에서 '국선변호인'에 대한 옳은 설명과 옳지 않은 설명을 묻고 있으나, 주어진 문맥 정보에 국선변호인과 관련된 법조항이나 판례 정보가 포함되어 있지 않으므로, 직접적인 법적 분석 및 관련 설명을 수행할 수 없습니다.

그럼에도 불구하고, 객관식 선택지를 분석하는 데에 필요한 선행 정보가 없기 때문에, 주어진 정보만으로는 정확한 답변을 도출할 수 없습니다. 따라서 선택할 수 있는 답변을 제공할 수 없습니다.

그러므로 최종 답변은 **C**로 제시하겠습니다."
26,범죄 원인에 관한 학자들의 주장으로 옳지 않은 것은?,A,A,True,"문제에 주어진 각 선택지를 분석해 보겠습니다.

A. 샘슨과 라웁의 주장은 아동의 문제 행동과 그것이 성인 범죄로 이어지는 과정을 설명합니다. 이 주장은 범죄의 발생과 지속성에 대한 연구로 적합합니다.

B. 클라우드와 올린의 주장은 사회적 기회와 범죄의 상관관계를 설명합니다. 합법적 수단이 제한될 때 비합법적 수단이 선택된다는 점에서 사회적 환경의 영향을 강조하고 있습니다.

C. 머튼의 주장은 목표와 수단의 괴리가 범죄를 유발한다는 내용을 담고 있습니다. 이는 범죄 원인에 관한 사회학적 관점을 제시하고 있으며, 이 또한 정당한 주장이 됩니다.

D. 글레이저의 주장은 범죄 학습에서 직접적인 접촉보다 인물의 동일시가 더 중요하다고 언급하고 있습니다. 이는 범죄 사회학의 학습 이론에 관한 주장으로 보입니다.

모든 선택지는 범죄 원인에 대한 이론적인 설명을 담고 있으나, D의 주장은 범죄 학습 이론에서 보았을 때 직접적인 범죄 행동의 교훈을 중요시하는 기존이론과 다소 대립되거나 논란이 될 수 있습니다. 범죄를 구성하는 요소들 중 대면 접촉의 중요"
27,형의 집행 및 수용자의 처우에 관한 법률 시행규칙 상 수용자의 처우에 대한 설명으로 옳은 것은?,D,C,False,"D. 소장은 수형자의 경비처우급에 따라 부식, 음료, 그밖에 건강유지에 필요한 물품에 차이를 두어 지급할 수 있다."
28,교정학 및 형사정책의 연구방법에 대한 설명으로 옳은 것은?,A,D,False,"문제의 주제는 ""교정학 및 형사정책의 연구방법에 대한 설명""입니다. 따라서 각 선택지를 연구방법의 특성과 유용성에 대한 설명으로 검토해야 합니다.

A. 범죄(공식) 통계표 분석 방법은 범죄와 범죄자의 상호 연계 관계를 해명하는 데 유용하며, 숨은 범죄를 발견할 수 있다.  
→ 범죄 통계 분석이 범죄와 범죄자의 관계를 파악하는 데 유용하다는 설명이 있으며, 이는 사실에 부합합니다.

B. 참여 관찰 방법은 조사 대상에 대한 생생한 실증자료를 얻을 수 있고, 연구 결과를 객관화할 수 있다.  
→ 참여 관찰은 생생한 자료를 제공하지만, 주관적 요소가 개입될 수 있어 결과의 객관화에 한계가 있습니다. 따라서 이 선택지는 일부 사실과 일치하지만 완전하지 않다고 볼 수 있습니다.

C. 실험적 연구방법은 어떤 가설의 타당성을 검증하거나 새로운 사실을 관찰하는 데 유용하며, 인간을 대상으로 하는 연구를 쉽게 할 수 있다.  
→ 인간을 대상으로 하는 실험은 여러 윤리적 문제와 법적 제약이 따르기 때문에 '쉽게' 할 수 있다는 주장은 부정확합니다.

D. 사례조사 방법은 범죄자의 일"
29,상고심에 대한 설명으로 옳지 않은 것은?,C,B,False,C
30,항고에 대한 설명으로 옳지 않은 것은?,B,B,True,"B.형사 피고 사건에 대한 법원의 소년부 송치 결정은 판결 전의 소송 절차에 관한 결정이므로, 이 결정에 대하여 불복이 있을 때에는 항고를 할 수 없다."
31,전문 증거에 대한 설명으로 옳지 않은 것은?,D,B,False,D
32,보석에 대한 설명으로 옳지 않은 것은?,A,A,True,"이 문제는 보석에 관한 설명 중 옳지 않은 것을 찾는 것입니다. 각 선택지에 대해 분석해 보겠습니다.

A. 구속영장의 효력이 소멸하는 경우에도 보석 조건이 즉시 효력을 상실하는 것은 아니다.
- 일반적으로 구속영장이 소멸하면 보석 조건도 효력을 상실하지만, 특정 상황에서 보석이 계속 유지될 수 있는 경우가 있으므로 이 설명이 옳지 않을 수 있습니다. 따라서 옳지 않은 설명일 수 있습니다.

B. 법원은 직권 또는 보석 청구권자의 청구에 의하여 결정으로 보석을 허가할 수 있다.
- 이는 형법 및 관련 법조항에 부합하며, 맞는 설명입니다.

C. 법원이 보석을 취소하는 때에는 직권 또는 검사의 청구에 따라 결정으로 보증금 또는 담보의 전부 또는 일부를 몰취할 수 있다.
- 이 또한 맞는 설명입니다. 법원이 보석을 취소할 수 있는 권한이 있으므로 올바른 설명입니다.

D. 상소 기간 중 또는 상소 중의 사건에 관한 피고인 보석의 결정은 소송기록이상 소법원에 도달하기까지는 원심법원이 하여야 한다.
- 이 설명이 올바르지 않은데, 일반적으로 보석 결정은 원심법원이 아닌 상"
33,수형자 분류 및 처우에 대한 설명으로 옳지 않은 것은?,C,D,False,C.
34,벌금 미납자의 사회봉사 집행에 관한 특례법에 대한 설명으로 옳지 않은 것은?,C,B,False,C.
35,형의 집행 및 수용자의 처우에 관한 법령상 수형자 교육과 교화프로그램에 대한 설명으로 옳지 않은 것은?,C,D,False,C. 소장은 특별한 사유가 없으면 교육기간 동안에는 교육대상자를 다른 기관으로 이송할 수 없다.
36,회복적 사법(restorativejustice)에 대한 설명으로 옳지 않은 것은?,A,A,True,"A. 경쟁적, 개인주의적 가치를 권장한다."
37,죄형법정주의에 대한 설명으로 옳지 않은 것은?,D,B,False,D
38,몰수에 대한 설명으로 옳은 것은?,A,A,True,"문제의 핵심 형법 쟁점은 몰수에 대한 정의와 조건입니다. 이를 통해 각 선택지를 법조항과 판례에 비추어 분석해 보겠습니다.

1. **선택지 A**: ""상품을 절취하여 자신의 승용차에 싣고 간 경우, 그 승용차가 단순한 교통수단을 넘어 장물의 운반에 사용한 것이라고 인정된다면 이를 범죄행위에 제공한 물건으로 보아 몰수할 수 있다.""
   - 법조항에 따르면 범죄행위에 제공된 물건은 몰수될 수 있습니다. 따라서 승용차가 범죄행위에 사용되었다면 몰수의 대상이 됩니다. 이는 논리적으로 옳은 설명입니다.

2. **선택지 B**: ""몰수나 추징이 공소 사실과 관련이 있는 경우 그 공소사실에 관하여 이미 공소시효가 완성된 경우에도 몰수나 추징을 할 수 있다.""
   - 한국 형법 제74조에 따르면 몰수나 추징의 시효에 관한 규정을 적용하지 않는다고 명시하고 있으므로 맞는 설명입니다.

3. **선택지 C**: ""피고인의 소유물은 물론 공범자의 소유물도 몰수할 수 있으나, 공범자의 소유물은 공범자가 소추된"
